No ID;Brand;Adresse;Code Postal;Ville
1399871;INTERMARCHE;18 Rue Menchecourt;80100;Abbeville
1303232;ESSO EXPRESS;213 Bd de la République;80100;Abbeville
1300543;CARREFOUR MARKET;Rue Des Cordeliers;80100;Abbeville
1301355;DIVERSE / OTHERS;ZI N°103 1 Rue Philippe Duclercq;80100;Abbeville
1360348;AVIA;La Fouly;74360;Abondance
1311013;E.LECLERC;3 Avenue Wolfgang Amadeus Mozart;78260;Acheres
1301425;INTERMARCHE;Rue Du 19 Mars 1962;62217;Achicourt
1344005;E.LECLERC;A6;77760;Achères Ouest
1302266;DIVERSE / OTHERS;30 Route de Paris;27570;Acon
1361157;AVIA;2 Rue Principale;86430;Adriers
1306103;AGIP;8 Av. des Sergents;34300;Agde
1300073;U;Bd Maurice Pacull;34300;Agde
1399275;INTERMARCHE;Av. de l'Atlantique;47031;Agen
1361296;AVIA;Rue JB Peres;47000;Agen
1305165;ESSO;1251 Route de Coutances;50180;Agneaux
1302278;E.LECLERC;Cente Commercial Odyssee;50180;Agneaux
1399601;INTERMARCHE;Route de Limoges;23150;Ahun
1311670;E.LECLERC;Zac de Targa;64120;Aicirits-Camou- Suhast
1352169;TOTALENERGIES;1675 Route de Niort;79230;Aiffres
1304144;SHELL;A 10;79230;Aiffres
1360205;AVIA;9 Rue d'Archeron;21510;Aignay-le-Duc
1301664;INTERMARCHE;1121 Route de Nimes;30220;Aigues Mortes
1360052;AVIA;2 Route de Narbonne;34210;Aigues Vives
1301053;INTERMARCHE;La Combette;36140;Aigurande
1361259;AVIA;Chemin De Neuilly;89110;Aillant/Tholon
1398311;DIVERSE / OTHERS;ZA Du Bois Majou Nord;33124;Aillas
1303854;ESSO;95 Rue Pierre Brossolette;80470;Ailly sur Somme
1302416;U;3 Route des Plages;30470;Aimargues
1307997;DYNEFF;979 RD Route des Plages;30470;Aimargues
1321008;TOTALENERGIES;Route de la Petite Camargue;30470;Aimargues
1301962;E.LECLERC;Zone Artisanale les Iles;73210;Aime
1311628;E.LECLERC;1668 Chemin De Perrot Cs 40009;40801;Air Sur L'Adour
1300547;CARREFOUR MARKET;901 Route Departementale;80270;Airaines
1397285;ENGIE;A89 Aire Du Manoire, Boulazac Isle;24330;Aire du manoire
1397282;ENGIE;Aire Palme Ouest A9;11480;Aire palme ouest
1300648;CARREFOUR;64 Av du Quatre Septembre;40800;Aire Sur L'Adour
1322038;TOTALENERGIES;A 65;40800;Aire sur l'Adour
1303712;ESSO EXPRESS;RN 43 - Route de Lambres;62120;Aire sur la Lys
1399518;AIRLIQUIDE;ZA. Saint Martin;62120;Aire sur la Lys
1300419;CARREFOUR;Cc Val De Lys;62120;Aire-Sur-La-Lys
1361292;AVIA;26 Rue de l'Aumonerie;79600;Airvault
1300782;INTERMARCHE;Route de Poitiers;79600;Airvault
1360063;AVIA;Route de Dijon;21110;Aiserey
1361230;AVIA;Zae De La Corvee Aux Moines Route D;21110;Aiserey
1305063;ESSO EXPRESS;3 Av. Henri Malacrida;13100;Aix en Provence
1306040;AGIP;67 Rue de Lattre de Tassigny;13090;Aix en Provence
1300239;CARREFOUR;9 Route Departementale Cc La Piolin;13290;Aix En Provence
1305012;ESSO EXPRESS;Route des Alpes;13100;Aix en Provence
1305047;ESSO EXPRESS;50 Av. Gd Port Rp Hopitaux;73100;Aix les Bains
1300742;CARREFOUR;ZAC de l'Epinette 5005 F;62160;Aix Noulette
1302429;DIVERSE / OTHERS;1 Boulevard du Marechal Juin;13100;Aix-en-Provence
1352023;TOTALENERGIES;10 Rue CH. Ledoux;13853;Aix-en-Provence
1399847;ENGIE;Rue Richard Trevithick;13290;Aix-Les-Milles
1301654;U;7 Rue Rene Dumont;87700;Aixe sur Vienne
1399945;U;7 rue René Dumont;87700;Aixe sur Vienne
1399844;U;Rue de la Roche;85190;Aizenay
1306642;ENI;109 Cours Napoleon;20090;Ajaccio
4376548;VITO;Avenue du Président Kennedy;20090;Ajaccio
4310145;VITO;Avenue Napoleon III;20000;Ajaccio
